qid,docid,rank,qre_relevance,llm_relevance,human_relevance
d7121387aa077f9d346a6b5a0378e5c6,46723249,4,0,1,2
d7121387aa077f9d346a6b5a0378e5c6,310773123,5,0,1,2
d7121387aa077f9d346a6b5a0378e5c6,298310776,7,0,2,1
d7121387aa077f9d346a6b5a0378e5c6,301313330,8,0,1,0
d7121387aa077f9d346a6b5a0378e5c6,301074089,9,0,1,0
d7121387aa077f9d346a6b5a0378e5c6,312119574,143,0,2,1
4880fdf7ff336b249af928cf93f43f0a,305695133,2,0,1,0
6513b320bfbcd0ed11d192b17f985131,128584423,11,0,2,0
6513b320bfbcd0ed11d192b17f985131,152366311,33,0,2,1
6513b320bfbcd0ed11d192b17f985131,172226024,71,0,2,1
d2af595f032a1958c62ceea6b1545833,157179620,2,0,1,0
d2af595f032a1958c62ceea6b1545833,128038491,5,0,2,1
d2af595f032a1958c62ceea6b1545833,310729285,30,0,2,1
6d1f50ca1928f230f5e90b7573fedc85,107281290,1,0,2,1
781ce9d684cf75f39303e94af5013c41,292109450,5,0,0,2
70a7a4c11f729b8ced811befa82aa2b7,302057487,6,0,2,1
70a7a4c11f729b8ced811befa82aa2b7,300357651,9,0,2,1
70a7a4c11f729b8ced811befa82aa2b7,81792389,33,0,2,1
10c7ef19d812f4c1bacecc0ee54d30a8,313546133,7,0,0,1
a8a463fe5c77781ae586810949bc43b4,162922413,3,0,0,1
a8a463fe5c77781ae586810949bc43b4,304399053,7,0,1,2
a8a463fe5c77781ae586810949bc43b4,309698387,19,0,0,1
a8a463fe5c77781ae586810949bc43b4,292668950,935,0,1,2
562ca7b9a565a1a27f9c71670c9f541e,295916480,1,0,2,1
562ca7b9a565a1a27f9c71670c9f541e,311538047,82,0,2,1
32b77e26bf1e161271a79b443af3b421,42835712,5,0,2,1
32b77e26bf1e161271a79b443af3b421,304389001,6,0,0,1
e9e12c23dcae83b144aecbcdf7183159,69979662,0,0,1,2
e9e12c23dcae83b144aecbcdf7183159,58910268,16,0,1,2
e9e12c23dcae83b144aecbcdf7183159,163215313,39,0,1,0
e9e12c23dcae83b144aecbcdf7183159,16100854,61,0,1,2
e9e12c23dcae83b144aecbcdf7183159,21183093,125,0,1,2
e9e12c23dcae83b144aecbcdf7183159,54504324,127,0,1,0
e9e12c23dcae83b144aecbcdf7183159,26559823,895,0,0,1
253235b2573e803d3d7cb91bbe626407,308700944,9,0,2,1
253235b2573e803d3d7cb91bbe626407,275578591,15,0,2,1
253235b2573e803d3d7cb91bbe626407,86360163,74,0,2,0
253235b2573e803d3d7cb91bbe626407,78340673,75,0,2,0
253235b2573e803d3d7cb91bbe626407,314548712,83,0,2,1
cf0a23a14082d55d74fad12e78a868e6,303299602,10,0,1,0
cf0a23a14082d55d74fad12e78a868e6,292237126,59,0,2,1
652d873a275fd4ba0504d141cf387c59,297033226,9,0,2,1
652d873a275fd4ba0504d141cf387c59,275699593,18,0,2,1
8563a9d294a5cbb4e837f30028ce6a6d,301554860,9,0,0,1
8563a9d294a5cbb4e837f30028ce6a6d,7919888,27,0,0,1
