qid docid zero jugement
d2af595f032a1958c62ceea6b1545833 160240932 0 2.0
d2af595f032a1958c62ceea6b1545833 310729285 0 1.0
d6e9712bf4d78dc25582d46273456358 305713907 0 0.0
d6e9712bf4d78dc25582d46273456358 313221671 0 0.0
d6e9712bf4d78dc25582d46273456358 314452247 0 0.0
d7121387aa077f9d346a6b5a0378e5c6 290078000 0 1.0
d7121387aa077f9d346a6b5a0378e5c6 298310776 0 1.0
d7121387aa077f9d346a6b5a0378e5c6 301074089 0 0.0
d7121387aa077f9d346a6b5a0378e5c6 301313330 0 0.0
d7121387aa077f9d346a6b5a0378e5c6 301699269 0 2.0
d7121387aa077f9d346a6b5a0378e5c6 310773123 0 2.0
d7121387aa077f9d346a6b5a0378e5c6 312119574 0 1.0
d7121387aa077f9d346a6b5a0378e5c6 313325596 0 2.0
d7121387aa077f9d346a6b5a0378e5c6 46723249 0 2.0
e9e12c23dcae83b144aecbcdf7183159 133612812 0 1.0
e9e12c23dcae83b144aecbcdf7183159 16100854 0 2.0
e9e12c23dcae83b144aecbcdf7183159 163215313 0 0.0
e9e12c23dcae83b144aecbcdf7183159 164498954 0 1.0
e9e12c23dcae83b144aecbcdf7183159 21183093 0 2.0
e9e12c23dcae83b144aecbcdf7183159 26559823 0 1.0
e9e12c23dcae83b144aecbcdf7183159 29213376 0 1.0
e9e12c23dcae83b144aecbcdf7183159 45660457 0 1.0
e9e12c23dcae83b144aecbcdf7183159 54504324 0 0.0
e9e12c23dcae83b144aecbcdf7183159 57860391 0 2.0
e9e12c23dcae83b144aecbcdf7183159 57988565 0 2.0
e9e12c23dcae83b144aecbcdf7183159 58910268 0 2.0
e9e12c23dcae83b144aecbcdf7183159 69979662 0 2.0
e9e12c23dcae83b144aecbcdf7183159 77962406 0 2.0
e9e12c23dcae83b144aecbcdf7183159 83669610 0 1.0
e9e12c23dcae83b144aecbcdf7183159 9929077 0 1.0
10c7ef19d812f4c1bacecc0ee54d30a8 292049822 0 1.0
10c7ef19d812f4c1bacecc0ee54d30a8 313546133 0 1.0
1bc4dce8577f8939ace5bf16d86b1829 297033218 0 2.0
253235b2573e803d3d7cb91bbe626407 275578591 0 1.0
253235b2573e803d3d7cb91bbe626407 308700944 0 1.0
253235b2573e803d3d7cb91bbe626407 313476629 0 1.0
253235b2573e803d3d7cb91bbe626407 314548712 0 1.0
253235b2573e803d3d7cb91bbe626407 78340673 0 0.0
253235b2573e803d3d7cb91bbe626407 86360163 0 0.0
32b77e26bf1e161271a79b443af3b421 304389001 0 1.0
32b77e26bf1e161271a79b443af3b421 304389731 0 1.0
32b77e26bf1e161271a79b443af3b421 42835712 0 1.0
4880fdf7ff336b249af928cf93f43f0a 305695133 0 0.0
562ca7b9a565a1a27f9c71670c9f541e 162170643 0 1.0
562ca7b9a565a1a27f9c71670c9f541e 295916480 0 1.0
562ca7b9a565a1a27f9c71670c9f541e 311538047 0 1.0
56311e2226162fc29277c68b6e6e586b 135973639 0 0.0
56311e2226162fc29277c68b6e6e586b 301689857 0 0.0
6513b320bfbcd0ed11d192b17f985131 128584423 0 0.0
6513b320bfbcd0ed11d192b17f985131 152366311 0 1.0
6513b320bfbcd0ed11d192b17f985131 172226024 0 1.0
6513b320bfbcd0ed11d192b17f985131 301433518 0 1.0
652d873a275fd4ba0504d141cf387c59 275699593 0 1.0
652d873a275fd4ba0504d141cf387c59 297033226 0 1.0
6d1f50ca1928f230f5e90b7573fedc85 107281290 0 1.0
70a7a4c11f729b8ced811befa82aa2b7 295846592 0 1.0
70a7a4c11f729b8ced811befa82aa2b7 297950374 0 0.0
70a7a4c11f729b8ced811befa82aa2b7 300357651 0 1.0
70a7a4c11f729b8ced811befa82aa2b7 302057487 0 1.0
70a7a4c11f729b8ced811befa82aa2b7 305658750 0 0.0
70a7a4c11f729b8ced811befa82aa2b7 81792389 0 1.0
781ce9d684cf75f39303e94af5013c41 292109450 0 2.0
8563a9d294a5cbb4e837f30028ce6a6d 301554860 0 1.0
8563a9d294a5cbb4e837f30028ce6a6d 67332 0 2.0
8563a9d294a5cbb4e837f30028ce6a6d 7919888 0 1.0
8cc85d9d1d5424fb44a6e3c22ecc8a12 275385699 0 0.0
8cc85d9d1d5424fb44a6e3c22ecc8a12 275387010 0 0.0
8cc85d9d1d5424fb44a6e3c22ecc8a12 304501240 0 0.0
8cc85d9d1d5424fb44a6e3c22ecc8a12 309157764 0 0.0
8cc85d9d1d5424fb44a6e3c22ecc8a12 309158100 0 0.0
8cc85d9d1d5424fb44a6e3c22ecc8a12 312804781 0 0.0
93552e2eb156f5c55161c41a17f2a01a 292795452 0 2.0
93552e2eb156f5c55161c41a17f2a01a 298521712 0 2.0
93552e2eb156f5c55161c41a17f2a01a 312185884 0 1.0
93552e2eb156f5c55161c41a17f2a01a 46590500 0 0.0
93552e2eb156f5c55161c41a17f2a01a 46591505 0 2.0
a8a463fe5c77781ae586810949bc43b4 162922413 0 1.0
a8a463fe5c77781ae586810949bc43b4 292668950 0 2.0
a8a463fe5c77781ae586810949bc43b4 304399053 0 2.0
a8a463fe5c77781ae586810949bc43b4 309698387 0 1.0
c0837308bd8bdd88372e59d7fbcdd79a 297033226 0 0.0
cf0a23a14082d55d74fad12e78a868e6 151198686 0 2.0
cf0a23a14082d55d74fad12e78a868e6 152499994 0 1.0
cf0a23a14082d55d74fad12e78a868e6 233117821 0 2.0
cf0a23a14082d55d74fad12e78a868e6 292237126 0 1.0
cf0a23a14082d55d74fad12e78a868e6 297867499 0 0.0
cf0a23a14082d55d74fad12e78a868e6 299179048 0 0.0
cf0a23a14082d55d74fad12e78a868e6 303299602 0 0.0
cf0a23a14082d55d74fad12e78a868e6 303491674 0 2.0
cf0a23a14082d55d74fad12e78a868e6 308917452 0 0.0
d2af595f032a1958c62ceea6b1545833 128038491 0 1.0
d2af595f032a1958c62ceea6b1545833 157179620 0 0.0
